  # frame#    Prot_CA   Prot_Backbone  Prot_Sidechain  Prot_All_Heavy Lig_wrt_Protein  Lig_wrt_Ligand
       101      3.095           3.069           3.384           3.121           2.931           0.700
       102      3.185           3.189           3.488           3.233           3.842           0.580
       103      3.077           3.072           3.419           3.156           3.516           0.577
       104      3.133           3.118           3.370           3.149           3.882           0.560
       105      3.095           3.090           3.359           3.116           4.160           0.660
       106      3.278           3.263           3.478           3.283           4.541           0.609
       107      3.060           3.069           3.551           3.227           3.609           0.637
       108      3.056           3.056           3.605           3.249           4.233           0.697
       109      3.033           3.038           3.568           3.229           3.416           0.619
       110      3.246           3.230           3.757           3.413           3.580           0.733
       111      3.443           3.413           3.790           3.528           3.206           0.668
       112      3.222           3.199           3.601           3.315           3.152           0.676
       113      3.193           3.169           3.677           3.341           3.369           0.621
       114      3.527           3.500           3.921           3.635           3.674           0.696
       115      2.922           2.932           3.513           3.140           3.526           0.727
       116      2.744           2.774           3.515           3.064           3.710           0.559
       117      2.594           2.629           3.475           2.985           3.627           0.693
       118      2.468           2.507           3.420           2.905           3.415           0.686
       119      2.409           2.477           3.590           2.986           3.254           0.596
       120      2.449           2.513           3.556           2.982           2.529           0.692
       121      2.590           2.610           3.612           3.066           3.232           0.636
       122      2.447           2.486           3.519           2.956           3.245           0.626
       123      2.602           2.645           3.704           3.132           3.292           0.467
       124      2.720           2.753           3.776           3.206           3.050           0.707
       125      2.901           2.929           3.840           3.312           3.243           0.740
       126      3.080           3.108           3.916           3.434           3.253           0.705
       127      2.910           2.927           3.688           3.231           3.349           0.708
       128      3.228           3.241           3.850           3.454           3.078           0.628
       129      3.309           3.328           3.934           3.550           3.277           0.635
       130      3.399           3.388           3.940           3.567           3.856           0.623
       131      3.534           3.499           4.011           3.664           3.922           0.628
       132      3.504           3.505           4.027           3.662           3.705           0.714
       133      3.503           3.481           3.882           3.584           3.311           0.690
       134      3.530           3.539           4.098           3.732           3.488           0.667
       135      3.435           3.438           4.134           3.700           3.604           0.710
       136      3.705           3.683           4.282           3.908           3.170           0.591
       137      3.709           3.677           4.213           3.856           3.468           0.678
       138      3.591           3.589           4.148           3.784           3.242           0.687
       139      3.493           3.477           4.061           3.685           2.932           0.689
       140      3.603           3.594           4.182           3.797           2.888           0.691
       141      3.681           3.673           4.133           3.807           3.600           0.585
       142      3.793           3.775           4.228           3.908           3.629           0.639
       143      3.805           3.798           4.368           3.991           3.799           0.668
       144      3.685           3.678           4.284           3.879           3.771           0.660
       145      3.706           3.689           4.323           3.917           3.628           0.576
       146      3.704           3.670           4.268           3.866           3.677           0.703
       147      3.660           3.625           4.171           3.805           3.686           0.728
       148      3.701           3.654           4.112           3.772           3.612           0.484
       149      3.887           3.860           4.323           3.981           3.846           0.528
       150      3.536           3.512           4.043           3.688           3.709           0.700
       151      3.416           3.372           4.035           3.596           4.141           0.661
       152      3.398           3.352           3.947           3.550           3.294           0.727
       153      3.546           3.523           4.074           3.698           3.551           0.651
       154      3.677           3.669           4.223           3.842           3.519           0.656
       155      3.557           3.539           4.166           3.763           3.080           0.655
       156      3.757           3.712           4.197           3.872           2.996           0.634
       157      3.725           3.697           4.201           3.857           2.700           0.638
       158      3.601           3.591           4.169           3.802           3.865           0.669
       159      3.601           3.598           4.135           3.787           3.372           0.678
       160      3.544           3.536           4.055           3.714           3.193           0.624
       161      3.391           3.421           4.040           3.647           3.266           0.499
       162      3.381           3.399           4.078           3.668           3.557           0.700
       163      3.461           3.484           4.142           3.734           2.892           0.630
       164      3.545           3.563           4.151           3.781           2.511           0.653
       165      3.496           3.536           4.139           3.751           3.257           0.646
       166      3.607           3.623           4.129           3.787           3.401           0.701
       167      3.463           3.460           4.074           3.687           2.864           0.652
       168      3.467           3.453           4.067           3.681           3.082           0.608
       169      3.545           3.550           4.113           3.736           3.004           0.694
       170      3.414           3.417           4.027           3.631           2.633           0.696
       171      3.260           3.269           4.013           3.578           2.282           0.727
       172      3.308           3.310           3.993           3.569           2.632           0.703
       173      3.453           3.457           4.118           3.691           2.229           0.706
       174      3.288           3.271           4.014           3.557           2.840           0.705
       175      3.235           3.222           3.892           3.467           2.360           0.691
       176      3.132           3.135           3.902           3.431           2.180           0.631
       177      3.191           3.194           3.909           3.471           2.461           0.688
       178      3.321           3.312           3.923           3.538           2.408           0.726
       179      3.274           3.274           3.993           3.558           2.534           0.682
       180      3.302           3.314           4.016           3.582           2.366           0.682
       181      3.450           3.449           4.100           3.696           2.510           0.585
       182      3.470           3.436           4.040           3.641           2.408           0.635
       183      3.503           3.482           4.125           3.712           2.727           0.640
       184      3.656           3.640           4.194           3.829           2.483           0.691
       185      3.440           3.434           4.078           3.674           2.231           0.732
       186      3.640           3.645           4.262           3.874           2.346           0.640
       187      3.591           3.576           4.078           3.742           2.592           0.709
       188      3.586           3.553           4.039           3.694           2.845           0.638
       189      3.463           3.444           3.948           3.595           2.247           0.667
       190      3.801           3.767           4.153           3.852           2.827           0.633
       191      3.626           3.590           4.094           3.745           2.429           0.660
       192      3.593           3.568           4.104           3.738           2.369           0.654
       193      3.530           3.505           3.997           3.647           2.781           0.643
       194      3.682           3.647           3.984           3.708           2.491           0.696
       195      3.879           3.839           4.061           3.838           2.822           0.680
       196      3.723           3.694           4.058           3.756           2.332           0.707
       197      3.620           3.598           4.050           3.700           2.568           0.596
       198      3.819           3.779           4.088           3.817           2.297           0.671
       199      3.799           3.764           4.132           3.825           2.278           0.695
       200      3.625           3.601           4.106           3.733           2.694           0.702
       201      3.519           3.501           3.986           3.638           2.464           0.681
       202      3.599           3.603           4.096           3.743           2.632           0.696
       203      3.731           3.699           4.169           3.828           2.488           0.638
       204      3.738           3.720           4.191           3.850           4.112           0.702
       205      3.758           3.742           4.236           3.882           3.756           0.568
       206      3.867           3.836           4.289           3.957           4.403           0.612
       207      4.006           3.977           4.374           4.065           4.544           0.704
       208      3.871           3.845           4.329           3.980           5.062           0.582
       209      3.961           3.929           4.315           4.013           4.171           0.666
       210      4.073           4.036           4.493           4.157           3.910           0.681
       211      4.283           4.247           4.733           4.378           3.045           0.687
       212      4.142           4.116           4.619           4.253           2.918           0.716
       213      4.215           4.176           4.771           4.370           2.276           0.552
       214      4.151           4.139           4.716           4.330           3.411           0.676
       215      4.279           4.255           4.725           4.384           3.325           0.647
       216      4.240           4.214           4.738           4.380           3.435           0.579
       217      4.307           4.284           4.755           4.407           2.693           0.690
       218      4.090           4.053           4.601           4.220           2.078           0.668
       219      4.153           4.113           4.662           4.281           2.559           0.664
       220      4.167           4.126           4.611           4.265           2.073           0.739
       221      4.098           4.077           4.529           4.196           2.919           0.700
       222      3.963           3.922           4.392           4.062           3.126           0.699
       223      4.066           4.033           4.447           4.136           3.045           0.702
       224      4.102           4.058           4.441           4.135           3.067           0.699
       225      4.205           4.171           4.490           4.224           2.851           0.698
       226      4.103           4.047           4.475           4.150           3.308           0.671
       227      4.042           3.974           4.479           4.132           2.600           0.703
       228      4.063           4.024           4.507           4.157           3.242           0.704
       229      4.150           4.102           4.548           4.220           2.804           0.532
       230      4.034           4.000           4.466           4.129           2.807           0.650
       231      4.151           4.112           4.522           4.218           3.334           0.708
       232      4.235           4.201           4.659           4.322           3.122           0.609
       233      4.251           4.209           4.596           4.294           3.253           0.590
       234      4.129           4.085           4.454           4.162           3.418           0.640
       235      4.063           4.014           4.444           4.115           4.250           0.693
       236      4.048           3.999           4.490           4.125           3.822           0.693
       237      4.044           4.010           4.488           4.150           3.484           0.708
       238      4.036           3.987           4.454           4.121           4.022           0.717
       239      4.284           4.240           4.646           4.334           3.999           0.650
       240      4.130           4.100           4.517           4.200           4.114           0.703
       241      4.052           4.001           4.419           4.104           4.313           0.685
       242      4.004           3.961           4.368           4.063           3.747           0.631
       243      4.006           3.975           4.384           4.070           3.609           0.728
       244      3.920           3.930           4.388           4.054           3.238           0.664
       245      4.086           4.045           4.528           4.182           3.674           0.705
       246      4.044           4.017           4.437           4.118           3.748           0.642
       247      4.217           4.170           4.546           4.258           4.906           0.665
       248      4.104           4.046           4.417           4.122           3.887           0.568
       249      3.896           3.861           4.287           3.968           3.753           0.672
       250      3.945           3.902           4.300           3.992           4.051           0.720
       251      3.918           3.878           4.319           3.989           3.744           0.612
       252      4.082           4.026           4.400           4.103           3.436           0.629
       253      4.187           4.146           4.451           4.182           3.110           0.719
       254      4.261           4.219           4.544           4.285           2.578           0.692
       255      4.110           4.063           4.336           4.095           1.890           0.688
       256      4.086           4.044           4.379           4.101           1.976           0.633
       257      3.778           3.735           4.229           3.869           1.865           0.699
       258      3.835           3.785           4.255           3.912           1.634           0.642
       259      3.840           3.810           4.286           3.947           2.085           0.632
       260      3.949           3.926           4.382           4.048           2.832           0.726
       261      3.991           3.942           4.421           4.070           2.419           0.697
       262      3.859           3.819           4.336           3.973           2.619           0.660
       263      3.949           3.918           4.465           4.090           3.088           0.682
       264      3.896           3.840           4.410           4.019           3.932           0.641
       265      3.750           3.711           4.325           3.908           3.635           0.600
       266      3.759           3.723           4.297           3.905           3.527           0.666
       267      3.641           3.614           4.198           3.800           2.855           0.659
       268      3.859           3.832           4.298           3.954           2.193           0.647
       269      3.752           3.709           4.249           3.871           3.198           0.692
       270      3.758           3.727           4.294           3.907           2.832           0.631
       271      3.694           3.674           4.226           3.847           2.745           0.648
       272      3.625           3.602           4.184           3.786           3.411           0.603
       273      3.569           3.559           4.157           3.752           3.557           0.551
       274      3.603           3.590           4.215           3.798           3.275           0.626
       275      3.599           3.575           4.208           3.794           3.213           0.683
       276      3.386           3.378           4.090           3.639           2.770           0.675
       277      3.369           3.344           4.100           3.637           3.308           0.585
       278      3.411           3.413           4.143           3.691           2.952           0.561
       279      3.547           3.531           4.178           3.756           3.457           0.711
       280      3.605           3.602           4.241           3.828           3.634           0.652
       281      3.466           3.456           4.157           3.717           2.627           0.650
       282      3.354           3.365           4.070           3.627           3.144           0.710
       283      3.307           3.288           3.950           3.520           3.178           0.582
       284      3.329           3.329           4.016           3.575           3.941           0.648
       285      3.366           3.362           4.033           3.605           3.941           0.678
       286      3.383           3.371           4.005           3.588           3.930           0.583
       287      3.554           3.524           4.046           3.687           4.793           0.627
       288      3.480           3.459           4.023           3.633           3.616           0.629
       289      3.579           3.562           4.201           3.794           3.944           0.678
       290      3.736           3.710           4.313           3.918           2.055           0.683
       291      3.646           3.630           4.214           3.815           2.583           0.709
       292      3.618           3.599           4.202           3.811           3.159           0.499
       293      3.688           3.675           4.211           3.839           2.878           0.635
       294      3.598           3.575           4.145           3.763           2.605           0.608
       295      3.578           3.540           4.209           3.768           2.979           0.628
       296      3.634           3.579           4.173           3.771           3.110           0.695
       297      3.506           3.466           4.079           3.675           2.383           0.700
       298      3.670           3.619           4.278           3.860           2.853           0.713
       299      3.408           3.367           4.037           3.609           3.290           0.685
       300      3.496           3.459           4.179           3.732           3.231           0.687
       301      3.624           3.570           4.180           3.802           3.132           0.722
       302      3.590           3.538           4.223           3.784           2.790           0.656
       303      3.690           3.631           4.224           3.858           2.874           0.722
       304      3.748           3.700           4.357           3.942           2.532           0.613
       305      3.484           3.436           4.154           3.720           3.199           0.662
       306      3.707           3.653           4.333           3.911           2.392           0.683
       307      3.742           3.682           4.275           3.894           4.164           0.724
       308      3.525           3.488           4.115           3.733           4.000           0.711
       309      3.428           3.405           4.084           3.668           4.006           0.736
       310      3.549           3.507           4.123           3.737           3.946           0.674
       311      3.593           3.583           4.276           3.846           4.155           0.657
       312      3.691           3.693           4.279           3.896           4.572           0.697
       313      3.599           3.601           4.236           3.831           4.204           0.680
       314      3.537           3.526           4.162           3.753           4.041           0.702
       315      3.594           3.571           4.220           3.801           3.742           0.690
       316      3.614           3.591           4.196           3.785           4.561           0.591
       317      3.656           3.634           4.268           3.852           6.110           0.684
       318      3.508           3.493           4.145           3.721           7.197           0.703
       319      3.640           3.619           4.286           3.848           7.339           0.624
       320      3.586           3.564           4.204           3.785           7.538           0.631
       321      3.569           3.554           4.240           3.788           8.686           0.727
       322      3.702           3.665           4.266           3.854           7.223           0.715
       323      3.683           3.665           4.335           3.901           7.353           0.696
       324      3.735           3.708           4.323           3.902           7.655           0.699
       325      3.537           3.533           4.289           3.798           8.472           0.636
       326      3.924           3.921           4.526           4.129           9.406           0.704
       327      3.724           3.743           4.428           3.979           8.906           0.599
       328      3.700           3.692           4.371           3.922          10.107           0.711
       329      3.622           3.632           4.381           3.909           9.967           0.665
       330      3.669           3.675           4.367           3.914          10.450           0.628
       331      3.649           3.665           4.410           3.946           9.565           0.743
       332      3.695           3.694           4.392           3.949           9.612           0.691
       333      3.713           3.739           4.417           3.978           8.891           0.693
       334      3.535           3.537           4.333           3.829           8.138           0.674
       335      3.545           3.542           4.332           3.836           9.282           0.635
       336      3.417           3.417           4.197           3.707           7.976           0.673
       337      3.321           3.333           4.133           3.634           7.968           0.658
       338      3.306           3.346           4.201           3.680           7.054           0.665
       339      3.359           3.399           4.260           3.735           6.393           0.727
       340      3.522           3.553           4.295           3.806           6.575           0.676
       341      3.416           3.425           4.247           3.729           6.758           0.676
       342      3.404           3.446           4.326           3.789           7.821           0.636
       343      3.327           3.355           4.198           3.681           6.903           0.680
       344      3.279           3.321           4.208           3.672           6.723           0.598
       345      3.363           3.369           4.334           3.762           7.947           0.612
       346      3.525           3.541           4.463           3.923           7.021           0.687
       347      3.815           3.828           4.543           4.085           6.451           0.542
       348      3.749           3.797           4.548           4.070           6.884           0.618
       349      3.667           3.696           4.477           3.984           6.315           0.653
       350      3.709           3.742           4.545           4.047           6.780           0.680
       351      3.619           3.657           4.582           4.021           6.180           0.725
       352      3.762           3.759           4.497           4.018           5.961           0.639
       353      3.712           3.683           4.443           3.962           5.466           0.740
       354      3.786           3.799           4.600           4.106           5.705           0.700
       355      3.968           3.951           4.690           4.230           5.395           0.590
       356      3.994           3.986           4.714           4.264           6.076           0.704
       357      3.795           3.771           4.660           4.136           5.214           0.642
       358      3.612           3.610           4.496           3.962           5.972           0.715
       359      3.612           3.615           4.484           3.955           5.511           0.685
       360      3.421           3.400           4.408           3.825           5.768           0.713
       361      3.095           3.117           4.202           3.577           5.069           0.676
       362      2.973           3.010           4.186           3.529           5.406           0.732
       363      3.221           3.230           4.249           3.655           4.970           0.627
       364      3.201           3.203           4.137           3.578           4.898           0.711
       365      3.423           3.417           4.293           3.768           3.068           0.659
       366      3.403           3.433           4.251           3.742           4.379           0.740
       367      3.503           3.507           4.441           3.891           3.278           0.621
       368      3.526           3.529           4.270           3.801           4.033           0.727
       369      3.268           3.323           4.240           3.677           3.772           0.671
       370      3.211           3.242           4.245           3.646           4.018           0.686
       371      3.323           3.309           4.175           3.638           3.794           0.635
       372      3.399           3.423           4.282           3.741           3.931           0.617
