## Torsion are defined with the following atomIDs:
# dihed1: ai= 1637 aj= 1639 ak= 1638 al= 1633
# dihed2: ai= 1639 aj= 1638 ak= 1633 al= 1634
# Frame#   dihed1   dihed2
291   66.030   57.558
292   31.988   42.743
293   54.720   47.276
294   72.791   74.747
295   62.846   41.624
296   72.267   49.632
297   66.861   59.864
298   67.730   50.537
299   79.457   62.081
300   59.209   53.415
301   66.912   57.590
302   51.233   68.959
303   82.334   54.058
304   45.935   50.955
305   66.753   46.878
306   62.374   66.909
307   69.374   58.004
308   56.907   60.058
309   89.135   52.959
310   69.681   61.798
311   65.945   67.422
312   71.117   59.435
313   57.756   62.866
314   73.996   46.937
315   60.035   53.949
316   52.104   76.302
317   61.263   47.361
318   62.505   57.550
319   64.555   44.856
320   53.946   46.771
321   75.794   50.039
322   56.176   56.413
323   63.832   54.102
324   55.780   56.774
325   65.691   69.584
326   55.807   58.501
327   72.630   76.297
328   71.285   51.676
329   62.054   47.025
330   56.676   43.836
331   78.852   51.334
332   66.256   48.068
333   65.999   60.613
334   64.507   61.044
335   55.935   49.100
336   63.664   45.792
337   74.454   63.875
338   56.163   71.772
339   63.910   56.310
340   72.559   58.580
341   63.731   66.460
342   69.554 -165.828
343   56.435  171.205
344   54.372  163.822
345   59.517  159.050
346   59.220  174.656
347   57.469  153.310
348   49.811 -167.785
349   71.581 -176.473
350   72.278 -177.902
351   78.345  173.475
352   65.547  161.541
353   82.068  171.891
354   58.466 -179.612
355   63.825  155.151
356   79.242 -179.822
357   54.271  167.177
358   73.489  167.541
359   63.942 -176.999
360   69.145  179.111
361   64.050  168.251
362   74.666  172.985
363   75.354 -168.333
364   65.040  179.076
365   69.531  161.640
366   72.416  170.746
367   59.386  162.950
368   70.724  174.316
369   80.029  179.784
370   83.614  177.555
371   67.225 -167.760
372   65.089 -171.851
373   62.135 -155.939
374   70.443 -177.371
375   61.618  170.875
376   67.660 -166.262
377   65.982  177.719
378   63.954 -178.234
379   71.947  155.369
380   71.544 -172.222
381   67.844  165.509
382   65.827 -167.626
383   69.963  152.310
384   63.998 -173.112
385   68.905  176.913
386  -66.344  174.038
387  -83.091 -153.812
388  -67.460  150.315
389  -54.734  172.197
390  -54.536  173.555
391  -57.370  171.434
392  -74.302 -171.951
393  -57.438 -168.058
394  -84.138 -177.938
395  -55.345 -166.004
396  -58.212 -175.875
397  -59.201  173.680
398  -69.393  179.971
399  -73.067 -166.814
400  -59.572  178.316
401  -69.890  174.342
402  -75.310  179.347
403  -60.437 -165.780
404  -50.227  173.142
405  -66.979 -176.472
406  -64.270  157.469
407  -47.314  177.972
408  -60.897 -173.241
409  -77.556  169.749
410  -44.804  179.200
411  -68.746 -172.084
412  -54.157 -179.356
413  -49.783 -174.819
414  -68.326 -167.293
415  -51.651 -155.790
416  -63.890 -177.584
417  -53.916 -177.371
418  -51.565  173.941
419  -62.532 -168.919
420  -61.775  175.909
421  -55.937  175.578
422  -71.253  164.930
423  -74.712  175.412
424  -60.669 -175.471
425  -72.055 -174.719
426  -56.622  175.669
427  -61.831  173.500
428  -63.481  179.028
429  -69.594 -158.458
430  -68.961 -173.607
431  -70.658 -169.931
432  -53.364 -178.095
433  -70.960 -168.338
434  -73.719  176.974
435  -71.024  157.474
436  -77.831  176.835
437  -69.536 -178.459
438  -64.992 -167.793
