  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      126        0.705        1.763            0      118.825      124.919      177.332
      127        0.708        1.781            0      118.675      121.321      182.316
      128        0.628        1.766            1      118.200      125.724      178.210
      129        0.635        1.768            1      118.734      117.163      178.085
      130        0.623        1.812            0      120.361      110.049      182.771
      131        0.628        1.758            1      117.844      112.350      175.422
      132        0.714        1.787            0      119.295      121.908      178.911
      133        0.690        1.759            0      118.871      117.920      176.504
      134        0.667        1.752            1      118.022      130.170      175.950
      135        0.710        1.728            0      116.608      127.250      172.007
      136        0.591        1.777            0      118.793      132.641      179.247
      137        0.678        1.724            0      116.732      128.064      173.713
      138        0.687        1.715            1      116.277      132.771      174.787
      139        0.689        1.765            1      119.085      136.298      176.945
      140        0.691        1.775            0      119.217      142.596      177.940
      141        0.585        1.750            0      118.217      133.715      176.671
      142        0.639        1.798            0      119.782      118.476      181.322
      143        0.668        1.764            1      118.218      122.863      178.057
      144        0.660        1.801            0      119.793      117.837      182.832
      145        0.576        1.762            0      118.868      116.304      175.655
      146        0.703        1.758            0      118.224      115.905      177.606
      147        0.728        1.800            1      120.377      121.240      178.630
      148        0.484        1.758            1      118.622      124.947      176.690
      149        0.528        1.762            0      119.141      114.203      174.964
      150        0.700        1.767            1      118.980      122.638      178.300
      151        0.661        1.864            0      121.228      122.624      189.429
      152        0.727        1.800            0      119.063      133.036      183.118
      153        0.651        1.817            0      120.316      135.061      184.321
      154        0.656        1.758            1      118.515      104.880      176.184
      155        0.655        1.773            0      118.614      130.614      176.920
      156        0.634        1.812            0      120.138      126.580      183.491
      157        0.638        1.756            0      118.213      127.955      176.323
      158        0.669        1.773            1      118.873      116.578      180.153
      159        0.678        1.749            0      118.208      116.894      174.976
      160        0.624        1.752            0      118.884      125.127      172.643
      161        0.499        1.711            1      116.094      124.245      172.104
      162        0.700        1.780            0      118.656      127.724      176.989
      163        0.630        1.789            1      119.594      117.096      178.796
      164        0.653        1.772            1      118.649       88.783      176.749
      165        0.646        1.749            0      117.201      127.899      176.804
      166        0.701        1.770            0      118.489      117.313      179.184
      167        0.652        1.778            1      118.554      102.788      181.984
